study_folder,therapeutic_area,phase,data_type,vendor_name,data_review_tier,split
B7981027,I&I,Ph III,LAB,PPD,Critical,verify
B7981027,I&I,Ph III,Severity of Alopecia Tool (SALT),Signant Health,Supportive,verify
B7981027,I&I,Ph III,Eyelash Assessment (ELA),Signant Health,Supportive,verify
B7981027,I&I,Ph III,Eyebrow Assessment (EBA),Signant Health,Supportive,verify
B7981027,I&I,Ph III,Patient’s Global Impression of Change (PGI-C),Signant Health,Critical,verify
B7981027,I&I,Ph III,Alopecia Areata Patient Priority Outcomes (AAPPO),Signant Health,Supportive,verify
B7981027,I&I,Ph III,Patient-Reported Outcomes Measurement Information System(PROMIS)® Parent Proxy Anxiety symptoms,Signant Health,Supportive,verify
B7981027,I&I,Ph III,Patient-Reported Outcomes Measurement Information System(PROMIS)® Parent Proxy Depressive symptoms,Signant Health,Supportive,verify
B7981027,I&I,Ph III,,,Supportive,verify
B7981027,I&I,Ph III,Columbia Suicide Severity Rating Scale (C-SSRS) Pediatric Version Baseline,Signant Health,,verify
B7981027,I&I,Ph III,Columbia Suicide Severity Rating Scale (C-SSRS) Pediatric Version Baseline Post,Signant Health,,verify
B7981027,I&I,Ph III,Baseline,,Supportive,verify
B7981027,I&I,Ph III,"Behavior Rating Inventory of Executive Function®, Second Edition (BRIEF®2)",Signant Health,Supportive,verify
B7981027,I&I,Ph III,Modified Children’s Dermatology Life Quality Index (CDLQI),Signant Health,Supportive,verify
B7981027,I&I,Ph III,Tanner staging,Signant Health,Supportive,verify
B7981027,I&I,Ph III,Acceptability and Palatability Questionnaire,Signant Health,Supportive,verify
B7981027,I&I,Ph III,Biomarker: IP-10 (CXCL-10),QPS,Critical,verify
B7981027,I&I,Ph III,"Biomarker: Fluorescence-activated cell sorting lymphocyte subsets T, B, and NK (FACS TBNK)",PPD,Critical,verify
B7981027,I&I,Ph III,Adjudication Data,Clario,Supportive,verify
B7981027,I&I,Ph III,Rash Assessment(imagine data),Canfield,Supportive,verify
B7981028,I&I,Ph III,"LAB (Hematology, Blood chemistry, HBV, HCV, HIV, VZV IgG Ab, QFT,",PPD,Critical,train
B7981028,I&I,Ph III,"viral screen, Urinalysis, Microscopic analysis and urine culture) Fluorescence-Activated Cell Sorting - T-cell, B-cell and NK cell (FACS -",PPD,Supportive,train
B7981028,I&I,Ph III,TBNK) Induced protein 10 - C-X-C Motif Chemokine Ligand 10 [IP-10 (CXCL-10)],QPS,Supportive,train
B7981028,I&I,Ph III,Severity of Alopecia Tool (SALT),Signant Health,Critical,train
