study_id,kri_section,kri_number,kri_label,kri_code,iqmp_risk_id,moderate_threshold,high_threshold,relative_score_direction,weight,applicable_visits,forms_variables,logic_summary,corrective_action,status,retirement_date,comment,associated_qtl
B7981027,global,,Early Termination Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,retired,,due calculation change.,
B7981027,global,,Protocol Deviation Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,,
B7981027,global,,AE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,"the signals in CluePoints. For AE over-reporting signals, Clinical will be assigned to review the signals in CluePoints. CDS01-RF02",
B7981027,global,,SAE Rate,,,n/a – only relative score,n/a – only relative score,Both,High,,,,,active,,"the signals in CluePoints. For SAE over-reporting signals, Clinical will be assigned to review the signals in CluePoints.",
B7981027,global,,Patient’s Global Impression of Change,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Patient’s Global Impression of Change,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Severity of Alopecia Tool (SALT) Open to,SALT,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Severity of Alopecia Tool (SALT) Open to,SALT,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Columbia-Suicide Severity Rating Scale,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Columbia-Suicide Severity Rating Scale,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Columbia-Suicide Severity Rating Scale -,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Columbia-Suicide Severity Rating Scale -,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Alopecia Areata Patient Priority Outcomes,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Alopecia Areata Patient Priority Outcomes,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Patient-Reported Outcomes,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Patient-Reported Outcomes,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Patient-Reported Outcomes,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Patient-Reported Outcomes,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Acceptability and Palatability,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Acceptability and Palatability,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Modified Behavior Rating Inventory of,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
B7981027,global,,Modified Behavior Rating Inventory of,,,n/a – only relative score,n/a – only relative score,Above,High,,,,,active,,,
