study_folder,therapeutic_area,phase,pd_category,pd_subcategory,pi_flag,count
B7981027,I&I,Ph III,1) Inc/Excl,,,1
B7981027,I&I,Ph III,1) Inc/Excl,Participant met one or more exclusion criteria but was randomized to the study treatment,YES,6
B7981027,I&I,Ph III,10) Other,,,1
B7981027,I&I,Ph III,11) Informed Consent,,,5
B7981027,I&I,Ph III,11) Informed Consent,Participant or the participant's legal guardian signed ICD/Assent but documentation is incomplete or missing,NO,1
B7981027,I&I,Ph III,2) InvProd,,,2
B7981027,I&I,Ph III,2) InvProd,Dispensing error,YES,6
B7981027,I&I,Ph III,2) InvProd,IP accountability not done,YES,3
B7981027,I&I,Ph III,2) InvProd,IP not returned,YES,3
B7981027,I&I,Ph III,2) InvProd,IP was not handled/dispensed according to GCP guidelines but the error did not result in improper participant dosing,NO,2
B7981027,I&I,Ph III,2) InvProd,Medication error occurred,YES,3
B7981027,I&I,Ph III,2) InvProd,Participant compliance is < 80% at one or more visits.,YES,2
B7981027,I&I,Ph III,2) InvProd,Participant received and understood dosing instructions but did not take IP as prescribed and it cannot be determined if the correct dose was administered,YES,4
B7981027,I&I,Ph III,2) InvProd,"Source documentation, including diary, is unavailable",NO,3
B7981027,I&I,Ph III,4) Lab,,,1
B7981027,I&I,Ph III,4) Lab,Lab not done,NO,3
B7981027,I&I,Ph III,4) Lab,Lab sample was not properly collected and/or lab sample was collected but lab value could not be resulted,NO,3
B7981027,I&I,Ph III,5) VisitSched,Visit not done,NO,1
B7981027,I&I,Ph III,5) VisitSched,Visit was performed out of window,NO,10
B7981027,I&I,Ph III,6) Proc/Test,Procedure/Test performed out of window,NO,3
B7981027,I&I,Ph III,6) Proc/Test,Procedure/Test performed out of window,YES,2
B7981027,I&I,Ph III,6) Proc/Test,Procedure/test not performed,YES,12
B7981027,I&I,Ph III,6) Proc/Test,Procedure/test not performed per protocol,YES,8
B7981027,I&I,Ph III,7) Random,Incorrect information was entered into the IVRS/IWRS for randomization,NO,1
B7981028,I&I,Ph III,1) Inc/Excl,Participant met one or more exclusion criteria and was randomized to the study treatment,YES,1
B7981028,I&I,Ph III,10) Other,Accidental unblinding of site staff or study staff or participant caregiver,YES,1
B7981028,I&I,Ph III,11) Informed Consent,Revised ICD not signed at the first participant visit after the revised/approved ICD was available at site,NO,1
B7981028,I&I,Ph III,5) VisitSched,Pending Site Monitor Action VisitSched,NO,1
B7981028,I&I,Ph III,6) Proc/Test,Procedure/test not performed,YES,1
B7981032,I&I,Ph III,1) Inc/Excl,Contraception not confirmed/used prior to Day 1 as required per protocol,YES,4
B7981032,I&I,Ph III,1) Inc/Excl,"Participant did not meet Inclusion #1 (ie, protocol-specific criteria for alopecia areata) (De novo and Group A)",YES,2
B7981032,I&I,Ph III,1) Inc/Excl,"Participant met Exclusion #25g or #25j (ie, received a prohibited CYP3A inducer or substrate within protocol required washout period)",YES,4
B7981032,I&I,Ph III,1) Inc/Excl,"Participant met Exclusion #3 or #4 (ie, other than AGA, active systemic disease which can cause hair loss or scalp disease which can impact hair loss assessments) (De novo and Group A)",YES,1
